AppID,Category_1,Category_2
1192610,Single-player,Steam Achievements
457690,Single-player,Steam Achievements
371120,Single-player,Steam Achievements
1018950,Single-player,Multi-player
1786280,Single-player,Steam Achievements
910460,Single-player,
760520,Others,
1251270,Single-player,Steam Cloud
226780,Single-player,Multi-player
251990,Single-player,Steam Achievements
1137770,Steam Cloud,
543240,Single-player,Steam Achievements
1822490,Single-player,Steam Achievements
764180,Single-player,Full controller support
1534520,Single-player,
854190,Single-player,Steam Achievements
1375850,Single-player,Partial Controller Support
984610,Single-player,Partial Controller Support
1342790,Multi-player,MMO
1950050,Others,
1285940,Single-player,Steam Achievements
1732210,Single-player,
1778110,Single-player,Steam Achievements
1123730,Single-player,
837780,Single-player,Steam Achievements
11370,Single-player,
1524690,Single-player,Steam Achievements
1271280,Single-player,Steam Achievements
898260,Single-player,Steam Achievements
426930,Single-player,Multi-player
499540,Single-player,Steam Achievements
598620,Single-player,Steam Trading Cards
1102140,Single-player,
1143900,Single-player,Steam Achievements
606230,Single-player,Multi-player
1601260,Single-player,
894090,Single-player,Steam Achievements
1207390,Single-player,Steam Achievements
1797590,Single-player,
508790,Single-player,Multi-player
1084920,Single-player,
1146350,Single-player,
654260,Single-player,Steam Achievements
828740,Single-player,Steam Achievements
454680,Multi-player,Online PvP
449040,Single-player,Partial Controller Support
219830,Single-player,Multi-player
1913550,Multi-player,PvP
1192500,Single-player,Steam Achievements
1554600,Single-player,Steam Achievements
1155230,Others,
720030,Single-player,Steam Achievements
1086140,Single-player,
1535420,Single-player,Multi-player
415920,Single-player,Steam Achievements
1507600,Single-player,
240340,Single-player,Steam Achievements
1544810,Single-player,Multi-player
793030,Single-player,
1514730,Single-player,Steam Achievements
1487100,Single-player,Steam Achievements
726000,Single-player,Multi-player
2010540,Single-player,Steam Achievements
1871390,Others,
651670,Single-player,Steam Achievements
987710,Single-player,Steam Achievements
951050,Single-player,Partial Controller Support
1550630,Single-player,Steam Achievements
1711530,Single-player,Steam Achievements
1011420,Single-player,Steam Achievements
1411460,Single-player,Steam Achievements
680250,Single-player,Steam Cloud
1915740,Single-player,
1421410,Single-player,Multi-player
