AppID,Genre_1,Genre_2,Genre_3
1433070,Adventure,Casual,Indie
45750,Action,Adventure,
850710,Action,Casual,Indie
821860,Action,Casual,Indie
1836970,Adventure,Casual,Free to Play
577850,Simulation,,
1715970,Action,Adventure,RPG
1008000,Adventure,Free to Play,Indie
1006920,Casual,Indie,
1011310,Action,Indie,
536950,Free to Play,Massively Multiplayer,
1669350,Action,Indie,
1436810,Adventure,Indie,
2050890,Action,Indie,
1280780,Simulation,Strategy,
994200,Action,Adventure,Free to Play
1148680,Strategy,,
1347390,Casual,Indie,Racing
460630,Action,Indie,
562050,Casual,Indie,
613880,Simulation,,
2003160,Others,,
371710,Casual,Indie,Simulation
1959400,Action,Adventure,Indie
1420080,Action,RPG,
38160,Casual,,
1283430,Action,Early Access,
703000,RPG,,
1071220,Adventure,Casual,Indie
536430,Adventure,Indie,
742990,Free to Play,Strategy,
1000040,Action,Casual,Indie
380990,Action,Indie,
565080,Adventure,Casual,Free to Play
377010,Education,,
1630760,Casual,Indie,Racing
612440,Casual,Free to Play,
327980,RPG,,
1692190,Others,,
266330,Action,Indie,
1436990,Casual,RPG,Strategy
654710,Action,Adventure,Indie
873250,Indie,RPG,
1863380,Others,,
868570,Adventure,Indie,
1571600,Adventure,Casual,
1605190,Casual,Indie,Strategy
635900,Action,Adventure,Indie
1789660,Action,Adventure,Casual
1236700,Action,Casual,Indie
590600,Action,Casual,Indie
870010,Indie,Strategy,
1192610,Action,Adventure,Indie
457690,Casual,Indie,Simulation
371120,Adventure,Indie,
1018950,Action,Casual,Indie
1786280,Indie,,
910460,Adventure,Indie,
760520,Animation & Modeling,,
1251270,Adventure,Indie,Strategy
226780,Racing,Sports,
251990,Indie,RPG,Simulation
1137770,Animation & Modeling,Audio Production,Utilities
543240,Adventure,,
1822490,Casual,Indie,
764180,Indie,RPG,
1534520,Adventure,Casual,Indie
854190,Violent,Gore,Action
1375850,Casual,Indie,
984610,Indie,Simulation,Early Access
1342790,Action,Massively Multiplayer,Early Access
1950050,Others,,
1285940,Adventure,Indie,
1732210,Adventure,Casual,Free to Play
1778110,Indie,,
1123730,Casual,Indie,RPG
837780,Casual,Indie,Simulation
11370,Adventure,Indie,
1524690,Casual,Indie,Strategy
1271280,Indie,RPG,Strategy
898260,Casual,Indie,
426930,Action,Indie,Early Access
499540,Adventure,Indie,
598620,Casual,Indie,
1102140,Adventure,Casual,Indie
1143900,Action,Adventure,Casual
606230,Indie,RPG,Strategy
1601260,Action,Adventure,Indie
894090,Adventure,Casual,Indie
1207390,Action,Free to Play,Indie
1797590,Indie,,
508790,Action,Indie,
1084920,Adventure,Casual,
1146350,Action,Adventure,Indie
654260,Casual,Indie,
828740,Adventure,Indie,
454680,Violent,Action,Indie
449040,Free to Play,RPG,
219830,Action,Free to Play,Indie
1913550,Action,Indie,Sports
1192500,Casual,Indie,
1554600,Action,Adventure,Indie
1155230,Utilities,,
720030,Adventure,Indie,
1086140,Casual,Indie,
1535420,Casual,Free to Play,Massively Multiplayer
